data_dictionary_category;data_item;frequency;publication_time;unit_of_measure;created_by;last_updated_by;new_existing_renamed
Supplies;System Entry Calorific Value, DynevorArmsBL, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - Amethyst, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - Amethyst, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - Dimlington, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - Dimlington, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - Langeled, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - Langeled, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - West Sole, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - West Sole, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - York, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington - York, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-Amethyst, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-Amethyst, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-Dimlington, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-Dimlington, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-Langeled, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-Langeled, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-WestSole, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-WestSole, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-York, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Easington-York, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Glenmavis , D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Glenmavis , M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Glenmavis, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
